"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Missouri",18334.2905853922,497460.748759944,44496.3709054974,17278.0628272066,88901.8742972858,34847.9270136245,64163.9966692701,67146.0319501972,15323.2918020542,10924.557083127,62695.4674350395,14242.5391318543,14749.7760916056,32903.1663171814,13197.757712085,13038.130382156,29382.4346637255,24094.8066913785,38259.3621675793,59116.7567456208,61180.0124834868,12939.1397416366,10337.4188573792,21864.8543878069,0,76697.5481336066,8156.19426559348,41116.5935681155,60098.3215051935,61535.3833225048,52546.1189263003,25009.3237043627,20211.8188820403,4223.0588473404,28650.1649556665,2080.91491246038,27305.2393427269,25054.777015723,68054.8796493249,38824.0189443713,8071.47700437163,27676.7901143973,193283.428980278,13579.1506440609,59883.2622881595,29219.2121860275,2778.13016089959,45027.4421039448,14533.7262047315,28549.4994486769
"Montana",94925.2188986157,420849.774049259,32204.2102137298,93656.9918436419,23129.4170964705,41862.9500106001,140748.247647303,143605.849758775,91807.7164869598,87614.4361005103,139163.503220714,62910.4555371848,90448.0391048717,109585.268367662,89671.387512071,63819.2645352514,105971.83652302,100706.798510925,114669.284045811,135741.33884733,137854.803754686,89164.1762103195,66374.7923055884,98311.9327896207,76697.5481336066,0,69108.796875518,35707.364977003,136560.033241461,138225.911718161,24189.8079923674,99281.8159518655,96903.9855937954,76317.6724955524,105088.046246315,76831.1321777156,49428.0502017316,101232.988518501,144538.275715762,115382.804174496,69632.2654092225,104316.670054083,117112.280162055,63493.4795891326,136320.98609835,105892.336082837,79068.841501097,121523.76861115,91204.0815138577,48385.9138424904
"Nebraska",25873.45687558,489953.751079583,36940.2554280896,24570.6452836225,82262.7258464737,27303.8136470274,71642.8250991989,74507.8664472524,23385.6896623469,18723.7947044289,70062.8768060519,6249.11940459614,22879.67842413,40561.5237333165,20584.524635308,5357.29977884382,36887.7024112373,31648.8920672683,45572.8677075966,66646.5885031965,68790.1072512821,21072.9780396815,3681.31747878392,29232.0483310715,8156.19426559348,69108.796875518,0,33425.8037379043,67460.3625763818,69208.3957086776,44939.9390498964,33081.7701219645,27965.1661323887,7290.01250495498,36678.2720376574,7807.40604697873,19715.7077580517,33162.4017965964,75436.5093084244,46283.7845833679,1068.15762900426,35259.9315834575,185958.994134594,5644.31719962654,67227.2407177448,36864.1224743028,10122.5490551738,52421.2107271894,22228.587653614,20753.004078834
"Nevada",59278.1226231938,456544.545832461,3935.83867814726,57991.1178773689,50836.6591422214,6431.81716165035,105057.189180286,107907.570339948,56327.2706395126,52008.4464141172,103464.711770849,27232.4713532503,55170.2997689164,73946.2507779299,53998.3150250163,28156.9613009376,70309.42087697,65058.5787291184,78983.7953543611,100060.508063802,102197.400780695,53753.2059940614,30784.4307865989,62651.2241391467,41116.5935681155,35707.364977003,33425.8037379043,0,100865.980775879,102589.905697149,11639.9089684628,64475.0143212888,61296.6388701077,40616.0787271802,69659.2450799181,41178.5391076723,13818.7050026404,65897.6701361285,108842.157862323,79709.5731525072,33948.3352162149,68667.5080982003,152692.959522425,27822.6421534135,100629.736561476,70247.8781435603,43421.8417962216,85841.235959255,55573.2679143714,12701.2020709695
"New Hampshire",41780.5977295969,557408.890873779,104399.805575357,42947.2604399268,148740.08952327,94756.6952126809,4870.5120185151,7068.95733605035,45680.5428978783,49219.1607332561,2696.10347666776,73650.1938695996,47868.4094808685,27442.2661355162,46960.0188114198,72775.866718044,30736.4470325849,36035.5065273252,21902.2535935369,3569.9166923193,5166.44203780513,48507.5343248861,70331.8559473792,38318.0041227306,60098.3215051935,136560.033241461,67460.3625763818,100865.980775879,0,6760.83751246841,112387.560765407,42475.7759519753,40041.6556218696,60251.6471170083,33454.7690075436,59786.1083179538,87170.3503571599,37599.2103152447,7983.84055820881,21302.6029203687,66928.2254868041,32478.8184696488,253364.780957435,73070.5151913472,559.568823381003,31037.2683606741,57611.6563471326,15090.1511295447,45594.1038212453,88177.5387496362
"New Jersey",43376.8545999407,558955.474648593,106022.154971281,44768.6281840632,149484.474470188,96364.8827787224,5000.14860404168,8745.30566686494,46580.5949658535,50622.0393980932,6563.98043331179,75446.5693795523,48381.7227440704,28657.8971652231,48629.8955754266,74439.8700175014,32406.3235819631,37613.1181994913,24274.9212674645,3991.42486765065,1622.61961654603,49330.4493292936,71851.2733066777,40144.120743835,61535.3833225048,138225.911718161,69208.3957086776,102589.905697149,6760.83751246841,0,114070.768175384,41718.3511990155,41342.7973927551,62114.1971194388,33633.3284471237,61447.6171424906,88808.546880016,37725.8906503213,9128.72494003954,23204.3977795352,68764.8865597297,33983.909121265,254662.395854239,74836.3845843778,7203.71903978077,32349.0837952561,59170.7158794289,17524.8196924391,47029.4302900056,89953.9587217239
"New Mexico",70747.2417129665,445028.958830007,8120.02014978411,69474.0975720851,40322.3851509568,17747.7102573149,116579.504442572,119437.446775991,67709.8003149145,63454.0323699637,114995.460158166,38739.8785337861,66446.1571412704,85421.0995809209,65501.5659057675,39655.6658977957,81792.8414906121,76528.4100974507,90492.0982268888,111573.677458216,113687.819736065,65094.6207340215,42228.1186420802,74127.4064600462,52546.1189263003,24189.8079923674,44939.9390498964,11639.9089684628,112387.560765407,114070.768175384,0,75515.2490652246,72741.5573330823,52162.6784484041,81012.4674201447,52654.8415178509,25276.0538875454,77198.0747908398,120366.993690282,91202.3521952674,45462.9118248886,80141.5808338225,141159.795247891,39318.3042572591,112147.441230518,81729.537338086,54909.7459889408,97344.208047041,67042.190531751,24240.4539703963
"New York",14799.9150450264,518905.266463646,67478.3932005646,16557.9053851053,108575.118000422,58052.2868801919,45506.2290960798,49074.2815860823,11627.9089724722,16683.8118189489,44839.519848929,38895.649589413,10490.1464140449,17343.0264106038,17243.7650326169,37451.0270828572,16855.6914415428,14625.2482270934,24022.1197806438,40426.6607485568,41842.312401783,12694.2654102709,34496.7818994482,15847.2598736059,25009.3237043627,99281.8159518655,33081.7701219645,64475.0143212888,42475.7759519753,41718.3511990155,75515.2490652246,0,12713.5874416154,27639.1544433418,10050.5600805577,25995.2138730748,50867.0862868751,6859.6619788733,49825.9742782065,23333.3919312667,33077.1111971844,15386.7932040305,214383.728847463,38204.2903386845,42403.8014138839,15373.3036524652,23704.3791989771,28830.1944494813,15036.2775268648,52450.0367468661
"North Carolina",2654.99547186055,517664.643675208,64702.9771250566,4609.38272141726,108718.081877809,55053.7662107008,44023.0163486431,47077.0652202588,6077.55891147918,9291.5442063685,42633.01763718,34194.5486906261,9107.9234804043,12715.0959634169,7632.16670431798,33149.6327025942,9377.18588288085,4212.86034690209,18408.509733338,38955.3953391581,40983.1588606149,8862.44149861651,30539.4554429594,3531.3797338151,20211.8188820403,96903.9855937954,27965.1661323887,61296.6388701077,40041.6556218696,41342.7973927551,72741.5573330823,12713.5874416154,0,21066.1925386364,9470.9308081149,20169.3628822058,47497.5545246953,7497.96912626346,47966.4043324711,18759.1252875101,27572.7092308119,7577.05429042184,213444.453170927,33566.9956066387,39842.1896319078,9067.4315529206,17898.7991770426,24996.102520251,5760.7467843067,48674.274474371
"North Dakota",18859.9023935147,497160.592549833,44175.9318947875,17474.6909716424,89482.4171652448,34546.1153915806,64458.6197149768,67291.6507966509,16999.9351329468,12036.8848859495,62848.823350023,13440.1977931167,17159.3472334935,33509.8751395764,13524.0997348585,12628.525442426,29782.2726920294,24597.4078921012,38380.606440911,59484.6146408767,61665.6494560991,15069.0853727922,10548.7149062054,22132.9391689423,4223.0588473404,76317.6724955524,7290.01250495498,40616.0787271802,60251.6471170083,62114.1971194388,52162.6784484041,27639.1544433418,21066.1925386364,0,30050.4072560024,2405.99784488682,26965.1094081315,26780.5274343598,68226.7099546387,39135.8860353563,6745.19574734492,28196.5016508946,193211.688190814,12879.6975765893,60017.831095347,29813.8669331907,3989.7270349737,45241.9038506339,15339.7958037257,27936.0846621372
"Ohio",12096.0605042675,525562.244885637,72941.742234765,14004.8091888322,115860.778901456,63324.225430696,36919.6643697583,40294.6688035477,13346.2461211233,18062.4811044441,35933.7898790039,42868.3834689681,14790.3045013414,7294.07850201792,16911.1158640582,41678.7498545434,7514.69217522581,8043.50849341256,13982.147064557,31788.2368241776,33512.8417925144,15926.1563126857,38915.3894235892,10609.4442296899,28650.1649556665,105088.046246315,36678.2720376574,69659.2450799181,33454.7690075436,33633.3284471237,81012.4674201447,10050.5600805577,9470.9308081149,30050.4072560024,0,28946.2519337133,55852.209815155,4148.0435005072,41112.0904680898,13384.1056193382,36398.3638392937,6613.25284819052,221164.4329309,42214.7671625274,33334.0082278204,5878.57946085617,26583.8182086396,19144.7896359715,14823.4859198368,57174.289550994
"Oklahoma",18100.0660053189,497661.017541692,44641.2362895216,16858.7383809584,89515.2817752036,34996.1360869968,63935.757838424,66839.2491275119,15731.7511138335,10936.4377817642,62392.0996082228,14025.303029614,15591.5008542603,32791.5546540813,12858.1514701609,13030.3854162339,29141.015926738,23881.0609807353,37899.4258468502,58922.5063399377,61039.6118875939,13589.0300681874,10598.8909057316,21507.4983052167,2080.91491246038,76831.1321777156,7807.40604697873,41178.5391076723,59786.1083179538,61447.6171424906,52654.8415178509,25995.2138730748,20169.3628822058,2405.99784488682,28946.2519337133,0,27413.7778161657,25515.7201748275,67758.9450796749,38558.7094427653,7458.62365155931,27493.1698295431,193586.437218004,13399.7588985922,59557.362914743,29099.2494565685,2526.67515917658,44722.8843428462,14448.4163579819,28523.1916423618
"Oregon",45507.2795191758,470254.840334539,17233.6657303779,44257.9236371398,63081.0388420831,7590.64259367414,91328.2865632686,94217.5649681889,42518.7734849078,38207.0599797747,89770.6906148154,13597.8783833214,41409.1591199351,60163.688038488,40247.263544307,14397.1735525589,56552.7327220436,51288.7284209396,65282.766871339,86314.956667533,88428.5563231697,39954.7689492756,16974.5245900703,48912.9852130454,27305.2393427269,49428.0502017316,19715.7077580517,13818.7050026404,87170.3503571599,88808.546880016,25276.0538875454,50867.0862868751,47497.5545246953,26965.1094081315,55852.209815155,27413.7778161657,0,52105.9943547765,95144.7124949301,65969.1165537246,20298.8062248128,54894.9363490878,166248.873081392,14144.1172214069,86939.2352642931,56468.4741140798,29642.1388133195,72123.1970899273,41784.1997149939,2168.94469399291
"Pennsylvania",10081.7961358282,521596.019073952,69127.7241991547,12038.2650723807,111787.735924154,59535.4917417073,41059.4304983946,44441.1449618133,9809.81513907882,14830.2787422253,40081.3293786384,39297.1337296195,10822.3879755856,11023.7233085061,14193.835269824,38047.4846268778,10029.749379167,8105.46386327766,17735.4053210407,35928.4762302007,37630.1469529419,12169.4058527933,35229.9355344414,9892.99605961713,25054.777015723,101232.988518501,33162.4017965964,65897.6701361285,37599.2103152447,37725.8906503213,77198.0747908398,6859.6619788733,7497.96912626346,26780.5274343598,4148.0435005072,25515.7201748275,52105.9943547765,0,45256.5778907431,17313.5070335533,32944.9515698916,8527.75633812318,217168.503245086,38631.4806890818,37475.3348563305,8618.61007370098,23147.8003264695,23206.8850210988,11961.6206005917,53484.6004482561
"Rhode Island",49740.3672891797,565386.014345109,112375.361539452,50923.3659967367,156629.784980144,102730.143151831,4457.33855864685,1028.61811455953,53548.0252751453,57166.0680095247,5393.12126138473,81629.2668747607,55656.7413895891,35321.018087541,54925.9664716571,80749.3475057997,38688.3187794456,43986.8994859788,29883.7831209521,9429.38370215148,8355.29474434625,56365.0565104205,78297.2068790682,46291.5843852433,68054.8796493249,144538.275715762,75436.5093084244,108842.157862323,7983.84055820881,9128.72494003954,120366.993690282,49825.9742782065,47966.4043324711,68226.7099546387,41112.0904680898,67758.9450796749,95144.7124949301,45256.5778907431,0,29251.4640509428,74907.4515036548,40416.0230785279,261329.960631861,81049.2321475657,8256.62229108247,38942.4592147491,65574.4674590835,23056.5852284418,53540.1890141079,96155.6145868878
"South Carolina",20498.6307281267,536219.306866848,83199.0242640387,21732.9910299986,127476.972501831,73552.1939279856,25422.4840517287,28355.7975689276,24510.3302739886,27931.922661292,23916.5874434377,52492.5025004343,26904.1919678403,6433.99023518065,25735.3242709316,51575.1806594451,9442.64272116657,14738.6585824491,1893.84774596587,20443.7670434683,22626.5234359347,27349.7857274769,49087.5570019532,17086.0548716461,38824.0189443713,115382.804174496,46283.7845833679,79709.5731525072,21302.6029203687,23204.3977795352,91202.3521952674,23333.3919312667,18759.1252875101,39135.8860353563,13384.1056193382,38558.7094427653,65969.1165537246,17313.5070335533,29251.4640509428,0,45783.0313159188,11187.166770121,232100.939964003,51897.5751933903,21090.6879720032,9855.05533796741,36373.3877279475,6238.5819358569,24318.1818983328,67028.9875309101
"South Dakota",25423.1715822574,490481.805951447,37495.3582097958,24065.6677675148,82987.9039315182,27882.3525623359,71143.9531497231,73975.8885325509,23156.4969316691,18380.616662985,69535.0211582653,6723.62844408434,22799.0089340217,40127.3323284766,20137.6804543224,6068.31481220281,36408.6352172174,31188.603780426,45039.0631547338,66163.2760136588,68324.6578112361,20920.5951127711,4676.68511174315,28727.1964079355,8071.47700437163,69632.2654092225,1068.15762900426,33948.3352162149,66928.2254868041,68764.8865597297,45462.9118248886,33077.1111971844,27572.7092308119,6745.19574734492,36398.3638392937,7458.62365155931,20298.8062248128,32944.9515698916,74907.4515036548,45783.0313159188,0,34804.5045512919,186537.343543705,6164.96711446217,66688.8346733064,36433.6855931431,9842.08458303423,51900.0096576099,21845.5184953345,21253.9373626182
"Tennessee",9398.78137545501,525123.736904722,72119.1751487328,10824.644879279,116293.234966829,62468.4477464624,36513.7952701017,39522.1706453795,13442.5851008093,16764.325259458,35077.7983526632,41486.4036894933,16091.3063102689,5391.80619207516,14694.1362785466,40512.165421894,1856.33969415622,3631.6168620189,10865.2811918698,31471.7831104642,33555.1884437921,16283.7652869476,37971.5521892706,6284.61490151942,27676.7901143973,104316.670054083,35259.9315834575,68667.5080982003,32478.8184696488,33983.909121265,80141.5808338225,15386.7932040305,7577.05429042184,28196.5016508946,6613.25284819052,27493.1698295431,54894.9363490878,8527.75633812318,40416.0230785279,11187.166770121,34804.5045512919,0,220953.510222567,40876.5986292169,32274.1752782453,1955.46192519824,25271.0382173369,17421.7385761841,13158.747429254,56008.918318982
"Texas",211602.482806919,304536.9524086,149054.903348171,210434.381484603,106155.946548067,158666.120271486,257436.833668915,260413.829170487,208082.630873309,204191.771248842,255962.788204907,179820.287688906,206390.686936009,226143.201694215,206406.558733524,180622.313352815,222660.465765187,217368.519772251,231484.651532343,252375.955651192,254389.740576335,205341.587278693,183034.704042303,215068.559845427,193283.428980278,117112.280162055,185958.994134594,152692.959522425,253364.780957435,254662.395854239,141159.795247891,214383.728847463,213444.453170927,193211.688190814,221164.4329309,193586.437218004,166248.873081392,217168.503245086,261329.960631861,232100.939964003,186537.343543705,220953.510222567,0,180375.910314709,253140.734979749,222472.956850406,195757.613108283,238293.412146762,207811.001488844,165357.431890049
"Utah",31483.2842383462,484342.153104908,31341.6044977359,30171.6118036077,76917.4652494224,21728.3926364929,77268.6726628353,80120.3037271802,28896.7558220227,24310.7800207974,75677.716338629,706.5787577475,28200.6156393367,46184.3116242994,26214.5056763541,1294.06447381883,42503.3117708491,37260.314634737,51177.2637927244,72275.2714230282,74416.6160630467,26497.096992933,3961.54135830992,34830.9800474534,13579.1506440609,63493.4795891326,5644.31719962654,27822.6421534135,73070.5151913472,74836.3845843778,39318.3042572591,38204.2903386845,33566.9956066387,12879.6975765893,42214.7671625274,13399.7588985922,14144.1172214069,38631.4806890818,81049.2321475657,51897.5751933903,6164.96711446217,40876.5986292169,180375.910314709,0,72832.7666275805,42489.7787572776,15726.6467141727,58030.4916717617,27842.2636701185,15139.4399477689
"Vermont",41561.2472594134,557170.2141411,104166.509238421,42712.8259150621,148551.979854006,94526.6964572252,5328.01453879398,7341.69682882643,45506.7963686788,49009.7356795566,3062.21636426951,73411.1101595181,47717.4047138987,27268.8452045113,46740.6700498228,72546.5563188467,30523.2312074197,35820.6755859573,21661.9767835833,3956.52159685752,5597.92649881186,48335.7947794396,70111.097447069,38083.6806395141,59883.2622881595,136320.98609835,67227.2407177448,100629.736561476,559.568823381003,7203.71903978077,112147.441230518,42403.8014138839,39842.1896319078,60017.831095347,33334.0082278204,59557.362914743,86939.2352642931,37475.3348563305,8256.62229108247,21090.6879720032,66688.8346733064,32274.1752782453,253140.734979749,72832.7666275805,0,30854.6865251229,57394.2311160834,14865.3526360998,45387.5929492367,87938.5220220496
"Virginia",11065.7746751368,526674.706442272,73689.2758843572,12569.0356971567,117704.272082312,64032.82062279,34974.6554529133,38053.6260214503,14685.3060174584,18303.2551184646,33608.7620322499,43102.9627331359,17140.0788776948,3706.09820431138,16299.7196061895,42093.7702433507,1880.43738007943,5407.84973463575,9742.14804014495,29907.3249141343,31964.9089015204,17530.5560982103,39523.298683364,8125.93072823661,29219.2121860275,105892.336082837,36864.1224743028,70247.8781435603,31037.2683606741,32349.0837952561,81729.537338086,15373.3036524652,9067.4315529206,29813.8669331907,5878.57946085617,29099.2494565685,56468.4741140798,8618.61007370098,38942.4592147491,9855.05533796741,36433.6855931431,1955.46192519824,222472.956850406,42489.7787572776,30854.6865251229,0,26828.2656699907,16065.6326249544,14691.221814063,57607.5790018475
"Washington",15910.5167376456,499874.32475259,46867.5549524284,14771.5978964227,91507.489764828,37210.174717886,61711.6983117269,64656.7730068985,13342.1485295135,8641.77844210322,60205.2600890852,16356.6452251829,13248.507817728,30526.2723226338,10655.0565444581,15272.1214223696,26945.2727823342,21681.5893444554,35757.001045654,56683.5085489598,58787.4094450683,11223.5151805528,12726.1993677453,19393.0469474732,2778.13016089959,79068.841501097,10122.5490551738,43421.8417962216,57611.6563471326,59170.7158794289,54909.7459889408,23704.3791989771,17898.7991770426,3989.7270349737,26583.8182086396,2526.67515917658,29642.1388133195,23147.8003264695,65574.4674590835,36373.3877279475,9842.08458303423,25271.0382173369,195757.613108283,15726.6467141727,57394.2311160834,26828.2656699907,0,42554.7614730432,12156.7563222103,30799.6894816311
"West Virginia",26699.9516914338,542370.609416853,89352.6611062306,27877.7816207172,133714.164358242,79709.5548190203,19329.7174425805,22153.7623630028,30734.4781540601,34150.2527528509,17721.03077037,58617.4517846187,33076.261149737,12558.0579828252,31904.7416290494,57728.5951672133,15661.0095218795,20956.6367074586,6890.67630411558,14466.1540682933,16771.4971538769,33572.5792928172,55269.9203646106,23238.1741522887,45027.4421039448,121523.76861115,52421.2107271894,85841.235959255,15090.1511295447,17524.8196924391,97344.208047041,28830.1944494813,24996.102520251,45241.9038506339,19144.7896359715,44722.8843428462,72123.1970899273,23206.8850210988,23056.5852284418,6238.5819358569,51900.0096576099,17421.7385761841,238293.412146762,58030.4916717617,14865.3526360998,16065.6326249544,42554.7614730432,0,30533.688404613,73153.0382351007
"Wisconsin",3973.09997041353,511988.756562504,59001.0862521606,3699.49000842008,103243.845175647,49346.2760092026,49632.1471167629,52636.0982325476,3725.68645653388,3645.85027580673,48185.6685716241,28466.7157514192,6761.89229547469,18381.2871129853,2278.86260805692,27421.1500019602,14882.0083400864,9611.51479104101,23819.8891999543,44583.2179551634,46654.9908442012,5105.47059167909,24834.8511036487,7636.80061688794,14533.7262047315,91204.0815138577,22228.587653614,55573.2679143714,45594.1038212453,47029.4302900056,67042.190531751,15036.2775268648,5760.7467843067,15339.7958037257,14823.4859198368,14448.4163579819,41784.1997149939,11961.6206005917,53540.1890141079,24318.1818983328,21845.5184953345,13158.747429254,207811.001488844,27842.2636701185,45387.5929492367,14691.221814063,12156.7563222103,30533.688404613,0,42946.2659677893
"Wyoming",46617.458710097,469232.260228951,16318.4244753469,45306.9185562967,62718.0067836694,6918.19132092341,92384.4857327035,95221.5525420737,43832.0081237091,39397.2571419953,90780.3662701143,14539.5212994239,42847.4734466631,61305.2328141579,41336.8218847664,15533.5888320793,57638.0945216451,52395.6130449955,66292.2455940361,87395.425784276,89542.507385831,41320.2840001808,18261.7230123255,49967.3948295286,28549.4994486769,48385.9138424904,20753.004078834,12701.2020709695,88177.5387496362,89953.9587217239,24240.4539703963,52450.0367468661,48674.274474371,27936.0846621372,57174.289550994,28523.1916423618,2168.94469399291,53484.6004482561,96155.6145868878,67028.9875309101,21253.9373626182,56008.918318982,165357.431890049,15139.4399477689,87938.5220220496,57607.5790018475,30799.6894816311,73153.0382351007,42946.2659677893,0
